ID	Text	Label	Explanation
1	"Gentlemen:

 Attached is the DASH for the approval of the DPR Accelerated Put 
transaction.  This partial divestiture allows us to put $11 million of our 
equity interest back to DPR Holding Company, LLC and its subsidiary, Dakota, 
LLC.  Both entities are controlled by Chris Cline.

 In addition to redeeming part of our equity interest, the deal provides us 
900,000 tons of coal priced below market, an option which could lead to a 
very profitable synfuel project, and the potential for more marketing fees 
from other Cline entities.

 The DASH has been approved and signed by RAC and JEDI II, and is now 
awaiting Mark Haedicke's review and approval.  I wanted to give you the 
opportunity to review the DASH and become familiar with the provisions of the 
deal.

 If you have any questions on the transaction, feel free to contact me at 
(412) 490-9048.  Others familiar with the deal are Mike Beyer, George 
McClellan, and Wayne Gresham.

 Thank you.

  Bill Giuliani"	SENSITIVE	This text contains proprietary business information, including details about a financial transaction, equity interest, coal pricing, and potential marketing fees. It also includes contact information for individuals involved in the deal, which could be considered sensitive business details.
2	"Buffalo






""Captain Norway"" <gordongecho@hotmail.com> on 04/26/2001 10:41:49 AM
To:	hsalisbu@enron.com
cc:	 

Subject:	Stanley Cup Pool


Pick one winner in the following series.

EAST
Pittsburgh vs. Buffalo
Toronto vs. New Jersey

WEST
Los Angeles vs. Colorado
St. Louis vs. Dallas

the following people are still in the pool.

Everyone but myself and MARK are still in the pool.


_________________________________________________________________
Get your FREE download of MSN Explorer at http://explorer.msn.com"	NOT SENSITIVE	
3	"the seats are in the lowest section - within one of the baselines -i cant really remember what row - they are pretty good though

-----Original Message-----
From: Kuykendall, Patrick M. [mailto:PKuykendall@wm.com]
Sent: Tuesday, October 02, 2001 8:14 AM
To: Kuykendall, Tori
Subject: Astros Tickets
Importance: High


I went ahead and invited Doug and John.  Doug has accepted but I haven't
heard back from John yet.  If he backs out, I'll ask Mike..  Where are the
seats?

Patrick Kuykendall
Senior IT Auditor
WM Internal Audit Services
(713) 265-1216"	SENSITIVE	The email contains professional roles and names of individuals, suggesting access to confidential information and professional affiliations, which could lead to privacy risks and unintended inferences.
4	"that sounds fine - but the zoo is in balboa park as well


   
	Enron North America Corp.
	
	From:  Shanna Husser @ EES                           12/28/2000 08:00 AM
	

To: Eric Bass/HOU/ECT@ECT
cc:  
Subject: Re: Trip to San Diego

My thoughts for the trip:

Friday:

Everyone says that you have to see the zoo if you are in San Diego.  Even- if 
you don't particularly like zoos.  Everything I read says that it will take 
at least half a day.  I say we hit that Friday morning through early 
afternoon.  Spend mid-afternoon near the hotel- beach area- suppose to be 
shopping, etc. near there.  Then go to the game.  When we get back that 
night- we can walk on the beach!

Saturday:

Visit Balboa Park.  See the Botanical Gardens, in other musuems/gardens in 
the area that look interesting.  If we aren't sick of seeing animals, there 
is suppose to be a wonderful Wild Animal Park that gives trolley or walking 
tours (the tours are only like an hour and a half).  After that- there is a 
ferry you can take across the bay to the Coronado Island to see the Hotel del 
Coronado.  It is suppose to be a really neat place.  Then- you we can finish 
the day in the Gaslamp Quarter downtown.  It is suppose to have a ""lively 
evening street scene"" and live music.

What do you think?  Let me know- so I can look up times that all of these 
open- if we are interested.

Shanna"	NOT SENSITIVE	
5	"Joe, we would like to make an urgent request to have one of our staff persons 
added to our hotline number 18000.  We have discussed this request on 
numerous occasions, but have not been successful in any attempt.

Would you please, at this time, please arrange to have Michelle Lokay's 
extension, 57932, roll over to the hotline number, 18000.

When we spoke, you assured me that this would be handled.  Please call me on 
ext. 35849 if you have any questions regarding this request.

Again, we will need this handled today.

Thanks in advance for your assistance,

adr"	SENSITIVE	This message contains explicit sensitive information such as personal names (Michelle Lokay), extension numbers (57932, 35849), and a hotline number (18000), all of which can lead to privacy risks and potential misuse. The urgency of the request also suggests the importance of handling this information with care.
6	"We have been working with our Human Resources and Training department to create new learning opportunities for our group.  As a result, we are happy to introduce a professional development program for all of our Senior Administrative Assistants.  

In an effort to bring all interested Senior Administrative Assistants the tools necessary to excel in their current positions, a library of learning opportunities has been selected for your use.  Each class was selected with continued performance, improvement, and sustained excellence in mind.  

We are very interested in your success as an employee of the EWS Legal Department and  believe this new approach to professional development will allow all  assistants the chance to bring the team to new heights of professionalism and performance.

Listed below are course titles that apply to our group.  Please gain approval from your immediate supervisor and the administrative coordinator before registering for training.  Thank you for your participation.

?	Business Writing

?	Proofing legal documents (by request and can be arranged for a small group or an individual)

?	MS Word

?	MS PowerPoint

?	Customer Services (available Fall 2001)

?	Successful Working Relationships
o		Valuing Differences
o	Creating Understanding

?	CPS Certification (on-site and over the course of several months)

?	PLS Certification (off-site; offered through Houston Association of Legal Secretaries)

?	One off-site training per year for the purposes of skill acquisition

*Guideline:  No more than 1/3 of the administrative staff should be out of the office at any given time."	SENSITIVE	"The text contains professional roles and activities that suggest access to confidential information, such as ""Senior Administrative Assistants,"" ""EWS Legal Department,"" ""Proofing legal documents,"" ""CPS Certification,"" and ""PLS Certification."" These details could lead to unintended inferences or privacy risks. Additionally, the guideline about the maximum number of staff out of the office at any given time could reveal private business operations."
7	"In order to accommodate different travel schedules, and to have an opportunity to visit with each company separately and then together, we have developed the following schedule for meetings: 

10:00 a.m. - Meeting with Questar and TransColorado 
11:00 a.m. - Meeting with Questar and Williams 
12:00 p.m. - Group Lunch 
1:00 p.m. - TransWestern arrives/Site visit with entire group
1:30 p.m. - Meeting with Questar and TransWestern
(Dress will be casual.)

Questar will provide morning refreshments and lunch at the Williams meeting place.  We wish to thank the Williams people for allowing us to use the facility.

We hope this schedule will work for all parties.  If you have any questions or concerns, please call either Jodi Starley at (801) 324-2082, or Gaylen Haag at (801) 324-5133.
Also, attached is a map with directions to the Blanco site for those out of town visitors who may need it.
Thanks again for your cooperation and we look forward to our visit."	SENSITIVE	This text contains explicit sensitive information such as specific meeting schedules, names and contact numbers of individuals, and the mention of providing directions to a specific site for out of town visitors. This information could potentially lead to privacy risks and security concerns if publicly disclosed.
8	"Glad you finally made it!  Good luck on your Legal exam today.  Get some rest 
and start studying for Wednesday and Thursday exams.  The finish is close at 
hand.

Enjoyed taking you last night.  I like the time alone with you.  Saturday, I 
have a haircut at 2:30 so we can start shopping at 3 or go early and be done 
by noon.  Let me know and send me your Mother's list!

Dad"	SENSITIVE	This text contains subtle (inferred) sensitive information, including personal activities, schedules, and family relationships, which could lead to unintended privacy risks or insights into personal habits and routines.
9	"Dear Kim,


This e-mail is automated notification of the availability of your
current Natural Gas Intelligence Newsletter(s). Please use your
username of ""kward"" and your password to access

       NGI's Daily Gas Price Index

       NGI's Weekly Gas Price Index

       Natural Gas Intelligence, the Weekly Newsletter

http://intelligencepress.com/subscribers/index.html

If you have forgotten your password please visit
  http://intelligencepress.com/password.html
and we will send it to you.

If you would like to stop receiving e-mail notifications when your
publications are available, please reply to this message with
REMOVE E-MAIL in the subject line.

Thank you for your subscription.

For information about other Intelligence Press products and services,
including maps and glossaries visit our web site at
http://intelligencepress.com or call toll-free (800) 427-5747.

ALL RIGHTS RESERVED. (c) 2001, Intelligence Press, Inc.
---"	SENSITIVE	This email contains explicit sensitive information such as the username, password, and a link to access the Natural Gas Intelligence Newsletter(s), which could lead to unauthorized access and privacy risks. Additionally, it includes a toll-free phone number, which is sensitive business information.
10	"Hello everyone,

Thursday's (4/6/00) conference call regarding the weekly Japan update will 
now be held at 6:00 p.m. Houston time and 8:00 a.m. Tokyo time due to 
Daylight Savings time change. Please forward your updates to Jope Hirl and 
copy me. The call will be held in Conference room 21C2 for Houston 
participants. Thanks,

Eddie Robles

Domestic:   1-800-991-9019
Intern'l           847-619-8039
Code:            5764488#"	SENSITIVE	This message contains specific details about a conference call, including the date, time, location, and contact information, which could be considered business-sensitive information.
